Date,Open,High,Low,Close,Volume,Daily_Return,cumprod,3 days,3 momentum,3 momentum cumprod
2001-06-06,612.63,615,597.66,597.66,360312992,1,5.9766,0,,35.9973015
2001-06-07,594.28,601.35,594.28,601.14,328042976,1.005822709,6.0114,0,,35.9973015
2001-06-08,608.48,621.9,608.33,621.78,442482976,1.034334764,6.2178,1,0.978207726,35.21283845
2001-06-11,612.46,615.41,607.2,608.23,340122976,0.978207726,6.0823,1,0.998224356,35.15031298
2001-06-12,605.36,611.88,603.91,607.15,319876992,0.998224356,6.0715,1,1.011364572,35.54978125
2001-06-13,611.79,614.05,607.48,614.05,392414976,1.011364572,6.1405,0,,35.54978125
2001-06-14,612.96,623.37,610.36,613.75,420519968,0.99951144,6.1375,1,1.008488798,35.85155618
2001-06-15,609.54,618.96,604.37,618.96,375829984,1.008488798,6.1896,1,0.983553057,35.26190767
2001-06-18,617.66,619.82,607.93,608.78,474206976,0.983553057,6.0878,0,,35.26190767
2001-06-19,606.04,615.85,605.8,608.91,436624992,1.000213542,6.0891,0,,35.26190767
2001-06-20,603.29,604.78,593.75,595.72,440474976,0.978338342,5.9572,0,,35.26190767
2001-06-21,597.72,599.76,589.46,595.53,404195968,0.999681058,5.9553,0,,35.26190767
2001-06-22,597.34,602.7,593.33,599.08,395236992,1.005961077,5.9908,0,,35.26190767
2001-06-25,597.37,602.77,594.04,598.02,309866976,0.99823062,5.9802,1,0.984431959,34.71294883
2001-06-26,597.81,598.96,586.12,588.71,312734976,0.984431959,5.8871,0,,34.71294883
2001-06-27,587.31,590.74,580.75,584.76,330388992,0.993290415,5.8476,0,,34.71294883
2001-06-28,585.66,591.03,582.91,583.27,268800000,0.997451946,5.8327,0,,34.71294883
2001-06-29,594.02,595.13,589.18,595.13,225199984,1.020333636,5.9513,1,1.002705291,34.80685747
2001-07-02,593.03,598.24,592.9,596.74,201599984,1.002705291,5.9674,1,0.995927875,34.66511959
2001-07-03,598.67,598.67,593.56,594.31,209199984,0.995927875,5.9431,1,1.004946913,34.83660493
2001-07-04,591.01,597.25,586.31,597.25,226799984,1.004946913,5.9725,1,0.9939054,34.62428975
2001-07-05,598.95,600.51,592.8,593.61,195599984,0.9939054,5.9361,0,,34.62428975
2001-07-06,581.85,585.08,578.13,578.54,215999984,0.974612961,5.7854,0,,34.62428975
2001-07-09,565.34,568.21,555.66,560,250599984,0.967953815,5.6,0,,34.62428975
2001-07-10,563.21,565.51,557.51,558.6,228999984,0.9975,5.586,0,,34.62428975
2001-07-11,547.15,558.53,545.76,553.65,208199984,0.991138561,5.5365,0,,34.62428975
2001-07-12,561.5,566.26,559.95,559.95,302800000,1.01137903,5.5995,0,,34.62428975
2001-07-13,571.16,571.16,546.97,548.49,258999984,0.979533887,5.4849,0,,34.62428975
2001-07-16,551.43,554.93,545.17,548.93,228199984,1.000802202,5.4893,0,,34.62428975
2001-07-18,550.94,551.97,539.04,540.53,275400000,0.984697502,5.4053,0,,34.62428975
2001-07-19,534.13,545.74,534.13,545.74,263199984,1.009638688,5.4574,0,,34.62428975
2001-07-20,540.26,541.95,534.39,537.71,275200000,0.985286034,5.3771,0,,34.62428975
2001-07-23,535,538.35,522.38,524.21,265199984,0.97489353,5.2421,0,,34.62428975
2001-07-24,518.94,527.37,512.78,526.62,485599968,1.004597394,5.2662,0,,34.62428975
2001-07-25,519.74,528.33,516.64,526.08,371399968,0.998974593,5.2608,0,,34.62428975
2001-07-26,529.65,531.96,527.22,529.22,313200000,1.005968674,5.2922,1,1.022504818,35.4035031
2001-07-27,536.86,542.58,534.94,541.13,395999968,1.022504818,5.4113,1,0.985955316,34.90627208
2001-07-30,542.08,542.08,532.85,533.53,274200000,0.985955316,5.3353,1,1.015031957,35.43098166
