Date,Open,High,Low,Close,Volume,Change
2016-10-20,107439,107439,107360,107445,1248,-0.00013028224718270032
2016-10-21,107424,107449,107355,107364,72,-0.0007538740751081853
2016-10-24,107253,107333,107248,107339,174,-0.00023285272530826348
2016-10-25,107360,107360,107292,107295,60,-0.00040991624665776
2016-10-26,107302,107302,107195,107299,1854,3.7280395172256675e-05
2016-10-27,107238,107292,107170,107246,28,-0.0004939468214988363
2016-10-28,107185,107204,107127,107156,124,-0.0008391921377021161
2016-10-31,107175,107200,107132,107189,74,0.0003079622233006507
2016-11-01,107195,107195,107103,107123,63,-0.0006157348235360518
2016-11-02,107199,107238,107160,107237,336,0.0010641972312201986
2016-11-03,107233,107282,107156,107270,220,0.000307729608250984
2016-11-04,107223,107253,107190,107255,89,-0.00013983406357787054
2016-11-07,107199,107199,107199,107204,5,-0.00047550230758475193
2016-11-08,107238,107277,107238,107246,4,0.00039177642625265447
2016-11-09,107054,107469,107054,107389,4496,0.0013333830632378252
2016-11-10,107349,107349,107058,107132,233,-0.0023931687603013785
2016-11-11,106987,107059,106969,106973,2033,-0.0014841503939065914
2016-11-14,106919,106919,106681,106685,202,-0.002692268142428511
2016-11-15,106599,106608,106493,106570,186,-0.0010779397291090786
2016-11-16,106497,106546,106338,106344,122,-0.002120671858872103
2016-11-17,106310,106319,106152,106324,1273,-0.00018806890844802468
2016-11-18,106305,106401,106186,106287,4446,-0.00034799292727882847
2016-11-21,106224,106271,106186,106268,5571,-0.00017876127842542106
2016-11-22,106280,106280,106201,106253,7,-0.0001411525576843209
2016-11-23,106228,106228,106161,106166,4,-0.0008188004103413249
2016-11-24,106161,106161,105988,106031,446,-0.0012715935421886426
2016-11-25,106017,106064,105850,106069,179,0.00035838575510926946
2016-11-28,106138,106161,106099,106166,6,0.0009144990525036256
2016-11-29,106219,106290,106219,106297,203,0.0012339166964940866
2016-11-30,106383,106430,106333,106368,28,0.0006679398289697325
2016-12-01,106176,106290,106046,106263,152,-0.0009871389891696893
2016-12-02,106206,106216,106161,106219,135,-0.00041406698474544257
2016-12-05,106228,106251,106161,106258,294,0.0003671659495947388
2016-12-06,106251,106363,106251,106320,47,0.00058348547874032
2016-12-07,106242,106339,106237,106344,150,0.00022573363431144244
2016-12-08,106349,106349,106349,106354,1,9.403445422395684e-05
2016-12-09,106220,106374,106220,106324,57,-0.00028207683773062714
2016-12-12,106315,106315,106305,106310,10,-0.0001316729995108901
2016-12-13,106344,106426,106344,106431,110,0.0011381807920234355
2016-12-14,106552,106600,106552,106604,2001,0.001625466264528086
2016-12-15,106465,106465,106426,106456,2294,-0.001388315635435844
2016-12-16,106503,106552,106485,106512,642,0.000526038926880634
2016-12-19,106576,106576,106548,106551,21,0.0003661559260927927
2016-12-20,106300,106562,106300,106508,104,-0.00040356261320873
2016-12-21,106493,106548,106493,106551,134,0.0004037255417432828
2016-12-22,106557,106596,106528,106599,3605,0.00045048849846551775
2016-12-23,106683,106688,106639,106652,56,0.0004971904051633835
2016-12-26,106649,106649,106620,106624,48,-0.0002625360987136281
2016-12-27,106620,106663,106576,106667,3674,0.000403286314525797
2016-12-28,106712,106712,106658,106696,61,0.0002718741503933142
2016-12-29,106817,106817,106817,106821,1,0.0011715528229736538
2017-01-02,106807,106807,106730,106741,246,-0.0007489164115670466
2017-01-03,106807,106847,106783,106851,259,0.001030531848118299
2017-01-04,106866,106866,106773,106779,200,-0.0006738355279781728
2017-01-05,106871,106871,106871,106876,17,0.0009084183219547627
2017-01-06,106973,106973,106915,106918,70,0.00039297877914590273
2017-01-09,106807,106807,106740,106746,28,-0.0016087094782917255
2017-01-10,106807,106817,106773,106784,34,0.00035598523598068255
2017-01-11,106802,106802,106792,106799,42,0.00014047048246923488
2017-01-12,106847,106958,106847,106963,4052,0.0015355949025739335
2017-01-13,106943,106943,106890,106894,6,-0.0006450828791264572
2017-01-16,106862,106862,106852,106856,100,-0.00035549235691434417
2017-01-17,106881,106881,106862,106881,154,0.0002339597214944256
2017-01-18,106890,106933,106842,106846,95,-0.0003274669960049437
2017-01-19,106759,106764,106707,106764,24,-0.0007674597083653367
2017-01-20,106769,106773,106754,106779,40,0.0001404967966729398
2017-01-23,106827,106915,106827,106899,173,0.0011238164807687578
2017-01-24,106842,106915,106842,106913,14,0.0001309647424203586
2017-01-25,106915,106915,106837,106918,31,4.676699746530844e-05
2017-01-26,106840,106840,106696,106749,32859,-0.0015806505920424876
2017-01-31,106827,106827,106744,106808,1093,0.0005526983859334145
2017-02-01,106797,106817,106797,106808,333,0.0
2017-02-02,106783,106852,106759,106836,1564,0.0002621526477417646
2017-02-03,106827,106827,106807,106813,29,-0.00021528323785990902
2017-02-06,106807,106890,106807,106885,4576,0.0006740752530123295
2017-02-07,106986,107026,106915,106918,4134,0.0003087430415866788
2017-02-08,106938,106938,106933,106938,1683,0.0001870592416617356
2017-02-09,106991,107045,106991,106995,96,0.0005330191325814138
2017-02-10,106933,106933,106857,106866,105,-0.001205663816066127
2017-02-13,106943,106943,106890,106894,143,0.0002620103681245656
2017-02-14,106933,106933,106933,106938,4360,0.0004116227290587027
2017-02-15,106928,106938,106923,106933,241,-4.675606426152168e-05
2017-02-16,106895,106968,106895,106928,28,-4.675825049327287e-05
2017-02-17,106933,106981,106933,106938,138,9.352087385905429e-05
2017-02-20,106933,106981,106885,106918,56,-0.00018702425704608672
2017-02-21,106871,106919,106857,106866,37,-0.00048635402832075686
2017-02-22,106881,106943,106787,106794,1720,-0.000673740946605994
2017-02-23,106881,106881,106812,106846,51,0.0004869187407532394
2017-02-24,106982,107016,106933,106986,281,0.0013102970630627375
2017-02-27,106986,106986,106900,106971,39,-0.00014020526050140258
2017-02-28,106900,106986,106895,106990,300,0.0001776182329791265
2017-03-02,106919,106928,106807,106899,183,-0.0008505467800729027
2017-03-03,106881,106895,106876,106894,40,-4.6773122292953495e-05
2017-03-06,107078,107078,106787,106821,42,-0.0006829195277564537
2017-03-07,106807,106812,106702,106726,97,-0.0008893382387358262
2017-03-08,106683,106703,106605,106706,101,-0.0001873957611079336
2017-03-09,106717,106717,106663,106667,36,-0.0003654902254793813
2017-03-10,106663,106663,106571,106652,3479,-0.00014062456054819705
2017-03-13,106740,106784,106736,106789,403,0.0012845516258486178
2017-03-14,106828,106838,106755,106841,66,0.0004869415389225917
2017-03-15,106620,106853,106620,106846,26,4.679851367916932e-05
2017-03-16,106964,107022,106964,107016,35,0.0015910750051475464
2017-03-17,107012,107089,107012,107065,249,0.00045787545787545625
2017-03-20,107113,107142,107059,107146,60,0.0007565497594919091
2017-03-21,107128,107206,107113,107156,163,9.333059563587652e-05
2017-03-22,107123,107147,107113,107123,79,-0.0003079622233006507
2017-03-23,107151,107180,107122,107132,78,8.401557088588696e-05
2017-03-24,107147,107147,107118,107137,22,4.667139603475866e-05
2017-03-27,107118,107206,107118,107199,894,0.0005786983021738301
2017-03-28,107225,107225,107215,107219,16,0.00018656890456059122
2017-03-29,107211,107220,107176,107185,90,-0.0003171079752656292
2017-03-30,107269,107269,107245,107247,11,0.0005784391472687389
2017-03-31,107191,107250,107191,107242,559,-4.662135071376028e-05
2017-04-03,107378,107378,107142,107223,286,-0.0001771693925887163
